|  Data        |               A&B                | WeiChen(2009)  |   Hejaz(2011)   |   XuZ(2010)    | Khorshidi(2017)optimize XuZ |   Chutia(2018)  |
| ------------ |           -----------            |    --------    |     --------    |    --------    |        -------------        |     --------    |
|      1       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.949952815656 |  0.900411365588 | 0.96265480025  |        0.970010482607       |  0.855973382004 |
|              |  [0.10,0.25,0.25,0.40;1.00,1.00] |                |                 |                |                             |                 |
|      2       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.584586348096 |   0.5540993019  | 0.619397442015 |        0.830893568897       |  0.346843485514 |
|              |  [0.50,0.65,0.65,0.80;1.00,1.00] |                |                 |                |                             |                 |
|      3       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.779448464128 |   0.7387990692  | 0.807170673004 |        0.935154018915       |  0.558779134766 |
|              |  [0.30,0.45,0.45,0.60;1.00,1.00] |                |                 |                |                             |                 |
|      4       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.28592583948  | 0.0620338353277 | 0.84339784145  |        0.450713536979       | 0.0871972791828 |
|              |  [0.10,0.25,0.25,0.40;0.20,0.20] |                |                 |                |                             |                 |
|      5       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.158358926481 |       0.0       | 0.770425743548 |        0.337097265106       |       None      |
|              |  [0.20,0.35,0.35,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      6       | [0.10,0.20,0.30,0.40;1.00,1.00]  |      0.0       |       0.0       | 0.668246732601 |        0.239099564347       |       0.0       |
|              |  [0.50,0.50,0.50,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      7       | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.824771867009 |  0.668040604878 | 0.96521672035  |        0.865016918699       |  0.694486788253 |
|              |  [0.10,0.20,0.30,0.40;0.80,0.80] |                |                 |                |                             |                 |
|      8       | [0.10,0.20,0.30,0.40;1.00,1.00]  |      0.6       |       0.6       |  0.6211145618  |        0.85689164944        |  0.394485269569 |
|              |  [0.50,0.60,0.70,0.80;1.00,1.00] |                |                 |                |                             |                 |
|      9       | [0.10,0.20,0.30,0.40;1.00,1.00]  |      0.8       |       0.8       |  0.8105572809  |        0.96422291236        |  0.635402538697 |
|              |  [0.30,0.40,0.50,0.60;1.00,1.00] |                |                 |                |                             |                 |
|      10      | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.824771867009 |  0.668040604878 | 0.96521672035  |        0.865016918699       |  0.694486788253 |
|              |  [0.10,0.20,0.30,0.40;0.80,0.80] |                |                 |                |                             |                 |
|      11      | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.158358926481 |       0.0       | 0.770425743548 |        0.337097265106       |       None      |
|              |  [0.20,0.30,0.40,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      12      | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.316717852963 | 0.0995860901582 | 0.862616921151 |        0.501726756275       |  0.22011254884  |
|              |  [0.30,0.30,0.30,0.30;0.40,0.40] |                |                 |                |                             |                 |
|      13      | [0.10,0.20,0.30,0.40;0.80,0.80]  | 0.519887716035 |  0.273834918609 | 0.86729869304  |        0.697771910137       |  0.327327089116 |
|              |  [0.20,0.30,0.40,0.50;0.40,0.40] |                |                 |                |                             |                 |
|      14      | [0.10,0.20,0.30,0.40;1.00,1.00]  | 0.158358926481 |       0.0       | 0.770425743548 |        0.337097265106       |       None      |
|              |  [0.20,0.30,0.40,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      15      | [0.10,0.20,0.30,0.40;0.01,0.01]  | 0.982000724718 |       0.0       | 0.998260836018 |        0.995446746228       |       None      |
|              |  [0.10,0.20,0.30,0.40;0.00,0.00] |                |                 |                |                             |                 |
|      16      | [0.10,0.20,0.30,0.40;0.00,0.00]  |      1.0       |       None      |      1.0       |             1.0             |       None      |
|              |  [0.10,0.20,0.30,0.40;0.00,0.00] |                |                 |                |                             |                 |
|      17      | [0.10,0.25,0.25,0.40;0.80,0.80]  | 0.783366597598 |  0.597909379372 |  0.9701857603  |        0.855737501943       |  0.688149120426 |
|              |  [0.10,0.25,0.25,0.40;0.60,0.60] |                |                 |                |                             |                 |
|      18      | [0.10,0.25,0.25,0.40;0.80,0.80]  | 0.626693278078 |  0.478327503498 | 0.805719095842 |        0.823465619781       |  0.411782256219 |
|              |  [0.30,0.45,0.45,0.60;0.60,0.60] |                |                 |                |                             |                 |
|      19      | [0.10,0.25,0.25,0.40;0.80,0.80]  | 0.175960686537 |       0.0       |  0.7509288015  |        0.436088628008       |       None      |
|              |  [0.30,0.45,0.45,0.60;0.00,0.00] |                |                 |                |                             |                 |
|      20      | [0.10,0.25,0.25,0.40;0.01,0.01]  | 0.982533940268 |       0.0       | 0.998509288015 |        0.995797117062       |       None      |
|              |  [0.10,0.25,0.25,0.40;0.00,0.00] |                |                 |                |                             |                 |
|      21      | [0.10,0.25,0.25,0.40;0.80,0.80]  | 0.593867317061 |  0.365347985151 | 0.923125807506 |        0.763356482315       |  0.650473001322 |
|              |  [0.30,0.30,0.30,0.30;0.60,0.60] |                |                 |                |                             |                 |
|      22      | [0.10,0.25,0.25,0.40;0.80,0.80]  |      0.0       |       0.0       | 0.828664835179 |        0.351263868133       | 0.0739394139102 |
|              |  [0.30,0.30,0.30,0.30;0.00,0.00] |                |                 |                |                             |                 |
|      23      | [0.10,0.20,0.30,0.40;0.80,0.80]  |  0.1920033076  |       0.0       | 0.803856150689 |        0.433010508607       |       None      |
|              |  [0.20,0.35,0.35,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      24      | [0.10,0.20,0.30,0.40;0.00,0.00]  |      0.9       |       None      | 0.90527864045  |        0.99105572809        |       None      |
|              |  [0.20,0.35,0.35,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      25      | [0.10,0.20,0.30,0.40;0.00,0.00]  |      0.0       |       None      | 0.927639320225 |        0.663685242697       |       None      |
|              |  [0.30,0.30,0.30,0.30;0.00,0.00] |                |                 |                |                             |                 |
|      26      | [0.30,0.30,0.30,0.30;0.00,0.00]  |      None      |       None      |  0.8105572809  |        0.96422291236        |       0.48      |
|              |  [0.50,0.50,0.50,0.50;0.00,0.00] |                |                 |                |                             |                 |
|      27      | [0.40,0.40,0.40,0.40;0.40,0.40]  |      0.45      |      0.225      | 0.886754446797 |        0.756969015175       |  0.50775492392  |
|              |  [0.50,0.50,0.50,0.50;0.20,0.20] |                |                 |                |                             |                 |
|      28      | [0.00,0.00,0.00,0.00;0.00,0.00]  |      None      |       None      |      1.0       |             1.0             |       None      |
|              |  [0.00,0.00,0.00,0.00;0.00,0.00] |                |                 |                |                             |                 |
|      29      | [0.00,0.00,0.00,0.00;0.00,0.00]  |      0.0       |       0.0       | 0.997763932023 |        0.663333333333       |       0.0       |
|              |  [0.00,0.00,0.00,0.00;0.01,0.01] |                |                 |                |                             |                 |
|      30      | [0.00,0.00,0.00,0.00;0.00,0.00]  |      0.0       |       None      |      0.0       |             0.0             |       0.0       |
|              |  [1.00,1.00,1.00,1.00;1.00,1.00] |                |                 |                |                             |                 |
|      31      | [0.40,0.40,0.40,0.60;0.80,0.80]  | 0.393693168769 |       None      | 0.464658344136 |        0.626160154299       |  0.181589644737 |
|              |  [1.00,1.00,1.00,1.00;1.00,1.00] |                |                 |                |                             |                 |
|      32      | [0.00,0.75,0.75,0.75;0.60,0.60]  | 0.585124134034 |  0.423357209107 | 0.761969095842 |        0.801047899077       |  0.367949757902 |
|              |  [0.10,0.40,0.40,0.40;0.80,0.80] |                |                 |                |                             |                 |
|      33      | [0.30,0.40,0.50,0.60;1.00,1.00]  | 0.392413843276 |  0.123250384623 | 0.700269526924 |         0.5346017877        | 0.0690964197265 |
