|  Data        |                   A&B                   |       Wei       |       Hejazi      |      Chen      |        Xu       |   Khorshidi    |      Chutia     | Chutia optimization2 |
| ------------ |               -----------               |    ----------   |      --------     |    --------    |     --------    |  ------------  |     --------    |    -------------     |
|      1       | [1.670,2.800,4.000,90.000;0.800,0.800]  | -0.371681954012 | -0.00580218907598 | 387.978625216  |  -25.4383586426 | 7873.10220219  | -0.163424767733 |  6.18528612501e-12   |
|              |   [0.000,0.000,0.000,0.000;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      2       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.949952815656 |   0.900411365588  | 0.835714285714 |  0.96265480025  | 0.970010482607 |  0.855973382004 |    0.863240037426    |
|              |   [0.100,0.250,0.250,0.400;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      3       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.584586348096 |    0.5540993019   | 0.308571428571 |  0.619397442015 | 0.830893568897 |  0.346843485514 |    0.43959961618     |
|              |   [0.500,0.650,0.650,0.800;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      4       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.779448464128 |    0.7387990692   | 0.548571428571 |  0.807170673004 | 0.935154018915 |  0.558779134766 |    0.605624886811    |
|              |   [0.300,0.450,0.450,0.600;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      5       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.28592583948  |  0.0620338353277  | 0.167142857143 |  0.84339784145  | 0.450713536979 | 0.0871972791828 |    0.252142327013    |
|              |   [0.100,0.250,0.250,0.400;0.200,0.200] |                 |                   |                |                 |                |                 |                      |
|      6       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |       0.0       |        0.0        |      0.0       |  0.668246732601 | 0.239099564347 |       0.0       |    0.136459564698    |
|              |   [0.500,0.500,0.500,0.500;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
|      7       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.824771867009 |   0.668040604878  |      0.8       |  0.96521672035  | 0.865016918699 |  0.694486788253 |    0.717577644691    |
|              |   [0.100,0.200,0.300,0.400;0.800,0.800] |                 |                   |                |                 |                |                 |                      |
|      8       |  [0.100,0.200,0.300,0.400;1.000,1.000]  |       0.6       |        0.6        |      0.36      |   0.6211145618  | 0.85689164944  |  0.394485269569 |    0.475925070942    |
|              |   [0.500,0.600,0.700,0.800;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      9       |  [0.100,0.200,0.300,0.400;0.010,0.010]  |  0.458248134317 |  0.0168189602357  |    0.016625    |  0.859490809416 | 0.772180061746 |  0.272151582414 |    0.370025755134    |
|              |   [0.300,0.300,0.300,0.300;0.400,0.400] |                 |                   |                |                 |                |                 |                      |
|      10      |  [0.100,0.200,0.300,0.400;0.800,0.800]  |  0.519887716035 |   0.273834918609  |     0.405      |  0.86729869304  | 0.697771910137 |  0.327327089116 |    0.409103692176    |
|              |   [0.200,0.300,0.400,0.500;0.400,0.400] |                 |                   |                |                 |                |                 |                      |
|      11      |  [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.175954362757 |        0.0        |      0.0       |  0.82608360175  | 0.349655075132 |       0.0       |    0.189719057615    |
|              |   [0.100,0.200,0.300,0.400;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
|      12      |  [0.100,0.200,0.300,0.400;0.000,0.000]  |       1.0       |        None       |      None      |       1.0       |      1.0       |       1.0       |         1.0          |
|              |   [0.100,0.200,0.300,0.400;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
|      13      |  [0.100,0.250,0.250,0.400;0.010,0.010]  |  0.982533940268 |        0.0        |      0.0       |  0.998509288015 | 0.995797117062 |  0.37862383681  |    0.949402903987    |
|              |   [0.100,0.250,0.250,0.400;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
