|  Data        |                  A&B                   |       Wei        |       Hejazi      |        Chen       |        Xu       |    Khorshidi    |      Chutia      | Chutia optimization2 |
| ------------ |              -----------               |    ----------    |      --------     |      --------     |     --------    |   ------------  |     --------     |    -------------     |
|      1       | [1.670,2.800,4.000,9.000;0.800,0.800]  | -0.590119594085  |  -0.0815332699864 |    7.0671306205   |  -3.25972633265 |  8.44387478403  | -0.182859253087  |   0.00408838030533   |
|              |  [0.000,0.000,0.000,0.000;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      2       | [3.000,3.000,4.000,5.000;1.000,1.000]  |  -1.3797628514   |  -0.584119329748  |   6.06920572917   |  -2.35636797554 |  -4.13793680326 | -0.443939593094  |   0.0129176147121    |
|              |  [0.100,0.100,0.300,0.400;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      3       | [0.900,0.900,1.000,1.000;1.000,1.000]  | 0.00102907982332 | 1.86068389898e-05 | 4.54647569444e-05 | 0.0486220880688 | 0.0297201425926 | 8.7646827492e-06 |   0.0539715705184    |
|              |  [0.001,0.002,0.003,0.003;0.020,0.020] |                  |                   |                   |                 |                 |                  |                      |
|      4       | [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.949952815656  |   0.900411365588  |   0.835714285714  |  0.96265480025  |  0.970010482607 |  0.855973382004  |    0.863240037426    |
|              |  [0.100,0.250,0.250,0.400;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      5       | [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.584586348096  |    0.5540993019   |   0.308571428571  |  0.619397442015 |  0.830893568897 |  0.346843485514  |    0.43959961618     |
|              |  [0.500,0.650,0.650,0.800;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      6       | [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.779448464128  |    0.7387990692   |   0.548571428571  |  0.807170673004 |  0.935154018915 |  0.558779134766  |    0.605624886811    |
|              |  [0.300,0.450,0.450,0.600;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      7       | [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.28592583948   |  0.0620338353277  |   0.167142857143  |  0.84339784145  |  0.450713536979 | 0.0871972791828  |    0.252142327013    |
|              |  [0.100,0.250,0.250,0.400;0.200,0.200] |                  |                   |                   |                 |                 |                  |                      |
|      8       | [0.100,0.200,0.300,0.400;1.000,1.000]  |  0.175954362757  |        0.0        |        0.0        |  0.82608360175  |  0.349655075132 |       None       |    0.189719057615    |
|              |  [0.100,0.200,0.300,0.400;0.000,0.000] |                  |                   |                   |                 |                 |                  |                      |
|      9       | [0.100,0.200,0.300,0.400;0.800,0.800]  |   0.1920033076   |        0.0        |        0.0        |  0.803856150689 |  0.433010508607 |       None       |    0.210046623513    |
|              |  [0.200,0.350,0.350,0.500;0.000,0.000] |                  |                   |                   |                 |                 |                  |                      |
|      10      | [0.100,0.250,0.250,0.400;0.010,0.010]  |  0.982533940268  |        0.0        |        0.0        |  0.998509288015 |  0.995797117062 |       None       |    0.949402903987    |
|              |  [0.100,0.250,0.250,0.400;0.000,0.000] |                  |                   |                   |                 |                 |                  |                      |
|      11      | [0.300,0.300,0.300,0.300;0.000,0.000]  |       None       |        None       |        None       |   0.8105572809  |  0.96422291236  |       0.48       |    0.548855534001    |
|              |  [0.500,0.500,0.500,0.500;0.000,0.000] |                  |                   |                   |                 |                 |                  |                      |
|      12      | [0.100,0.200,0.300,0.400;0.600,0.800]  |       None       |        None       |        None       |       None      |       None      |  0.782172403933  |    0.800690413395    |
|              |  [0.100,0.200,0.300,0.400;0.800,0.600] |                  |                   |                   |                 |                 |                  |                      |
|      13      | [0.000,0.000,0.000,0.000;0.000,0.000]  |       None       |        None       |        None       |       1.0       |       1.0       |       None       |         1.0          |
|              |  [0.000,0.000,0.000,0.000;0.000,0.000] |                  |                   |                   |                 |                 |                  |                      |
|      14      | [0.000,0.225,0.225,0.450;0.150,0.150]  |  0.216946798495  |   0.135940082247  |   0.201666666667  |  0.573443556293 |  0.619140857777 |  0.219728469898  |    0.349792605665    |
|              |  [0.675,0.675,0.675,0.675;0.150,0.150] |                  |                   |                   |                 |                 |                  |                      |
|      15      | [0.500,0.500,0.500,0.500;1.000,1.000]  |       0.5        |        None       |        0.5        |  0.52639320225  |  0.77639320225  |  0.267949192431  |    0.381342048668    |
|              |  [0.000,0.000,0.000,0.000;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      16      | [0.500,0.500,0.500,0.500;1.000,1.000]  |       0.5        |        None       |        0.5        |  0.52639320225  |  0.77639320225  |  0.341506350946  |    0.441769421785    |
|              |  [1.000,1.000,1.000,1.000;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      17      | [0.400,0.400,0.500,0.500;1.000,1.000]  |  0.622222222222  |   0.501183431953  |        0.49       |  0.71583592135  |  0.811047523504 |  0.540249536779  |    0.589666698337    |
|              |  [0.600,0.600,0.900,0.900;1.000,1.000] |                  |                   |                   |                 |                 |                  |                      |
|      18      | [0.400,0.400,0.500,0.500;1.000,1.000]  |       0.7        |        0.7        |        0.49       |  0.71583592135  |  0.91950155281  |  0.542051077093  |    0.591186155382    |
